,,,,,,,GEOMETRY no.,,FROM PUBLIC HEALTH ENGLAND DATASET,TOTAL BOROUGHS,,,,
OBJECTID,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,,NAME_2,,,TYPE_2,ENGTYPE_2,NL_NAME_2,VARNAME_2
1,242,GBR,United Kingdom,1,England,1,0,Barking and Dagenham,Barking and Dagenham,Barking and Dagenham,London Borough,London Borough,NA,NA
2,242,GBR,United Kingdom,1,England,2,1,Bath and North East Somerset,Barnet,Bath and North East Somerset,Unitary Authority,Unitary Authority,NA,NA
3,242,GBR,United Kingdom,1,England,3,2,Bedfordshire,Barnsley,"Bedford, Central Bedfordshire",Administrative County,Administrative County,NA,NA
4,242,GBR,United Kingdom,1,England,4,3,Berkshire,Bath and North East Somerset,West Berkshire,County,County,NA,NA
5,242,GBR,United Kingdom,1,England,5,4,Bexley,Bedford,Bexley,London Borough,London Borough,NA,NA
6,242,GBR,United Kingdom,1,England,6,5,Blackburn with Darwen,Bexley,Blackburn with Darwen,Unitary Authority,Unitary Authority,NA,"Blackburn, Blackburn and Darwen"
7,242,GBR,United Kingdom,1,England,7,6,Bournemouth,Birmingham,Bournemouth,Unitary Authority,Unitary Authority,NA,NA
8,242,GBR,United Kingdom,1,England,8,7,Brent,Blackburn with Darwen,Brent,London Borough,London Borough,NA,NA
9,242,GBR,United Kingdom,1,England,9,8,Brighton and Hove,Blackpool,Brighton and Hove,Unitary Authority,Unitary Authority,NA,NA
10,242,GBR,United Kingdom,1,England,10,9,Bristol,Bolton,"Bristol, City of",Unitary Authority (city),Unitary Authority (city),NA,NA
11,242,GBR,United Kingdom,1,England,11,10,Bromley,"Bournemouth, Christchurch and Poole",Bromley,London Borough,London Borough,NA,NA
12,242,GBR,United Kingdom,1,England,12,11,Buckinghamshire,Bracknell Forest,Buckinghamshire,Administrative County,Administrative County,NA,NA
13,242,GBR,United Kingdom,1,England,13,12,Cambridgeshire,Bradford,Cambridgeshire,Administrative County,Administrative County,NA,NA
14,242,GBR,United Kingdom,1,England,14,13,Camden,Brent,Camden,London Borough,London Borough,NA,NA
15,242,GBR,United Kingdom,1,England,15,14,Cheshire,Brighton and Hove,"Cheshire East, Cheshire West and Chester",Administrative County,Administrative County,NA,NA
16,242,GBR,United Kingdom,1,England,16,15,Cornwall,"Bristol, City of",Cornwall and Isles of Scilly,Administrative County,Administrative County,NA,Cornouailles|Cornovaglia|Cornualha|Cornualles|Cornwall and Isles of Scilly
17,242,GBR,United Kingdom,1,England,17,16,Croydon,Bromley,Croydon,London Borough,London Borough,NA,NA
18,242,GBR,United Kingdom,1,England,18,17,Cumbria,Buckinghamshire,Cumbria,Administrative County,Administrative County,NA,NA
19,242,GBR,United Kingdom,1,England,19,18,Darlington,Bury,Darlington,Unitary Authority,Unitary Authority,NA,NA
20,242,GBR,United Kingdom,1,England,20,19,Derbyshire,Calderdale,Derbyshire,Administrative County,Administrative County,NA,NA
21,242,GBR,United Kingdom,1,England,21,20,Derby,Cambridgeshire,Derby,Unitary Authority (city),Unitary Authority (city),NA,NA
22,242,GBR,United Kingdom,1,England,22,21,Devon,Camden,Devon,Administrative County,Administrative County,NA,NA
23,242,GBR,United Kingdom,1,England,23,22,Dorset,Central Bedfordshire,Dorset,Administrative County,Administrative County,NA,NA
24,242,GBR,United Kingdom,1,England,24,23,Durham,Cheshire East,County Durham,Administrative County,Administrative County,NA,County Durham
25,242,GBR,United Kingdom,1,England,25,24,Ealing,Cheshire West and Chester,Ealing,London Borough,London Borough,NA,NA
